CODIGOPROGRAMAENSUGAR;NOMBRE DEL PROGRAMA;CODIGOPROGRAMAENSUGAR;ID DEL USUARIO QUE ATIENDE EL PROG EN EL CALL
fucs_list_programa_interes101;ACTUALIZACIÓN DE CIRUGÍA PLASTICA Y TALLER DE SUTURAS PARA MÉDICOS;fucs_list_programa_interes101;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes104;BLS-ACLS CÚCUTA;fucs_list_programa_interes104;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes350;CERTIFICACION  TOMA DE CITOLOGÍA VAGINAL;fucs_list_programa_interes350;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes108;CERTIFICACIÓN TOMA DE CITOLOGÍA CÉRVICO UTERINA - (VIRTUAL TEORICO) - BOGOTA;fucs_list_programa_interes108;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes118;CURSO ACLS;fucs_list_programa_interes118;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes373;CURSO BÁSICO DE DESINFECCIÓN Y BIOSEGURIDAD PARA SALONES DE BELLEZA;fucs_list_programa_interes373;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes121;CURSO BLS;fucs_list_programa_interes121;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes122;CURSO BLS ACLS;fucs_list_programa_interes122;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes389;CURSO DE ASESORIA Y PRUEBA VOLUNTARIA PARA VIH (APV);fucs_list_programa_interes389;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes132;CURSO DE BIOSEGURIDAD Y MANEJO DE CADAVERES;fucs_list_programa_interes132;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes133;CURSO DE BUENAS PRACTICAS CLINICAS;fucs_list_programa_interes133;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes369;CURSO DE CUIDADO INTENSIVO NEONATAL PARA AUXILIARES DE ENFERMERÍA - CÚCUTA;fucs_list_programa_interes369;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes382;CURSO DE ONCOLOGÍA PARA PROFESIONALES DE LA SALUD-CÚCUTA;fucs_list_programa_interes382;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes364;CURSO DE REANIMACIÓN CARDIO PULMONAR BÁSICA Y AVANZADA (RCP-BA);fucs_list_programa_interes364;c5726ab6-10d4-476c-a705-56dedbe04c68
