fucs_list_programa_interes349;PREGRADO EN ADMINISTRACIÓN DE SERVICIOS DE SALUD
fucs_list_programa_interes2;PREGRADO EN ENFERMERÍA
fucs_list_programa_interes391;PREGRADO EN FISIOTERAPIA
fucs_list_programa_interes4;PREGRADO EN INSTRUMENTACIÓN QUIRÚRGICA
fucs_list_programa_interes1;PREGRADO EN MEDICINA
fucs_list_programa_interes473;PREGRADO EN NUTRICIÓN Y DIETÉTICA
fucs_list_programa_interes3;PREGRADO EN PSICOLOGÍA
fucs_list_programa_interes347;TÉCNICO PROFESIONAL EN PROCESOS ADMINISTRATIVOS EN SALUD
fucs_list_programa_interes7;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA
fucs_list_programa_interes6;TECNOLOGÍA EN CITOHISTOLOGÍA
fucs_list_programa_interes480;TECNOLOGÍA EN RADIOLOGÍA E IMÁGENES DIAGNOSTICAS
fucs_list_programa_interes497;TECNOLOGÍA EN REGENCIA DE FARMACIA
fucs_list_programa_interes348;TECNÓLOGO EN GESTIÓN DE INFORMACIÓN EN SALUD
fucs_list_programa_interes67;ESPECIALIZACIÓN EN ANESTESIOLOGÍA CARDIOVASCULAR
fucs_list_programa_interes66;ESPECIALIZACIÓN EN ANESTESIOLOGÍA Y REANIMACIÓN
fucs_list_programa_interes65;ESPECIALIZACIÓN EN ARTROSCOPIA Y CIRUGÍA DE RODILLA
fucs_list_programa_interes64;ESPECIALIZACIÓN EN CARDIOLOGÍA
fucs_list_programa_interes488;ESPECIALIZACIÓN EN CARDIOLOGÍA INTERVENCIONISTA Y HEMODINAMIA PEDIÁTRICA
fucs_list_programa_interes63;ESPECIALIZACIÓN EN CIRUGÍA CARDIOVASCULAR
fucs_list_programa_interes62;ESPECIALIZACIÓN EN CIRUGÍA CRANEOFACIAL
fucs_list_programa_interes61;ESPECIALIZACIÓN EN CIRUGÍA DE CABEZA Y CUELLO
fucs_list_programa_interes60;ESPECIALIZACIÓN EN CIRUGÍA DE LA MANO
fucs_list_programa_interes59;ESPECIALIZACIÓN EN CIRUGÍA DE LA RODILLA
fucs_list_programa_interes58;ESPECIALIZACIÓN EN CIRUGÍA DE MAMA Y TEJIDOS BLANDOS
fucs_list_programa_interes57;ESPECIALIZACIÓN EN CIRUGÍA ENDOSCÓPICA GINECOLÓGICA
fucs_list_programa_interes56;ESPECIALIZACIÓN EN CIRUGÍA GENERAL
fucs_list_programa_interes55;ESPECIALIZACIÓN EN CIRUGÍA MAXILOFACIAL
fucs_list_programa_interes345;ESPECIALIZACIÓN EN CIRUGÍA PEDIÁTRICA
fucs_list_programa_interes54;ESPECIALIZACIÓN EN CIRUGÍA PLÁSTICA RECONSTRUCTIVA Y ESTÉTICA
fucs_list_programa_interes53;ESPECIALIZACIÓN EN CIRUGÍA VASCULAR PERIFÉRICA
fucs_list_programa_interes52;ESPECIALIZACIÓN EN CUIDADO DE ENFERMERÍA EN URGENCIAS
fucs_list_programa_interes51;ESPECIALIZACIÓN EN DERMATOLOGÍA
fucs_list_programa_interes50;ESPECIALIZACIÓN EN DOCENCIA UNIVERSITARIA
fucs_list_programa_interes49;ESPECIALIZACIÓN EN ENDOCRINOLOGÍA
fucs_list_programa_interes495;ESPECIALIZACIÓN EN ENDOCRINOLOGÍA PEDIÁTRICA
fucs_list_programa_interes47;ESPECIALIZACIÓN EN ENFERMERÍA EN CUIDADO CRÍTICO DEL ADULTO
fucs_list_programa_interes46;ESPECIALIZACIÓN EN ENFERMERÍA EN CUIDADO INTENSIVO
fucs_list_programa_interes45;ESPECIALIZACIÓN EN ENFERMERÍA EN URGENCIAS
fucs_list_programa_interes44;ESPECIALIZACIÓN EN ENFERMERÍA GERONTOLÓGICA
fucs_list_programa_interes48;ESPECIALIZACIÓN EN ENFERMERÍA NEFROLÓGICA DEL ADULTO
fucs_list_programa_interes43;ESPECIALIZACIÓN EN ENFERMERÍA NEFROLÓGICA Y UROLÓGICA
fucs_list_programa_interes33;ESPECIALIZACIÓN EN ENFERMERÍA NEUROLOGÍA
fucs_list_programa_interes487;ESPECIALIZACIÓN EN ENFERMERÍA ONCOLÓGICA
fucs_list_programa_interes32;ESPECIALIZACIÓN EN EPIDEMIOLOGIA CLÍNICA
fucs_list_programa_interes484;ESPECIALIZACIÓN EN GASTROENTEROLOGÍA
fucs_list_programa_interes73;ESPECIALIZACIÓN EN GASTROENTEROLOGÍA Y ENDOSCOPIA DIGESTIVA
